# Mr. Estimator v0.1.8
# ------------------------------------------------------------------------
# legendlabel: Fit Exponential
# ------------------------------------------------------------------------
# m = 0.9797952672268566
# tau = 48.99165345672324 [bp steps]
# quantiles | tau [bp steps] | m:
#  0.125 |   47.311 | 0.97908523
#  0.250 |   47.968 | 0.97936859
#  0.400 |   48.919 | 0.97976541
#  0.500 |   49.249 | 0.97989988
#  0.600 |   49.677 | 0.98007125
#  0.750 |   50.368 | 0.98034204
#  0.875 |   50.992 | 0.98057999
# 
# fitrange: 1 <= k <= 500 [1 bp steps]
# function: $|A| e^{-k/\tau}$
# 	tau [bp steps]   = 48.99165345672324
# 	A                = 0.5821208358273979
# 
# ------------------------------------------------------------------------
# legendlabel: Fit Exp+Offset
# ------------------------------------------------------------------------
# m = 0.9809023286590158
# tau = 51.86079807556129 [bp steps]
# quantiles | tau [bp steps] | m:
#  0.125 |   50.115 | 0.98024375
#  0.250 |   50.942 | 0.98056129
#  0.400 |   51.659 | 0.98082834
#  0.500 |   52.031 | 0.98096426
#  0.600 |   52.364 | 0.98108409
#  0.750 |   52.985 | 0.98130386
#  0.875 |   53.559 | 0.98150213
# 
# fitrange: 1 <= k <= 500 [1 bp steps]
# function: $|A| e^{-k/\tau} + O$
# 	tau [bp steps]   = 51.86079807556129
# 	A                = 0.5829741452810505
# 	O                = -0.008794278384526543
# 
# ------------------------------------------------------------------------
# Data
# ------------------------------------------------------------------------
# 1_steps[bp_steps]	2_coefficients	3_stderrs
8.700000000000000000e+01	1.097952628541359887e-01	6.353112604496510309e-03
8.800000000000000000e+01	1.068238076609581838e-01	6.768901790431295848e-03
8.900000000000000000e+01	1.052129860499569913e-01	6.194907275877172166e-03
9.000000000000000000e+01	1.032444147615984298e-01	6.729225881646273486e-03
9.100000000000000000e+01	1.004103950006958457e-01	6.681290195519925222e-03
9.200000000000000000e+01	9.765664024283518541e-02	6.999544040496815007e-03
9.300000000000000000e+01	9.793416570482056660e-02	6.146493159030383749e-03
9.400000000000000000e+01	9.455540844042323312e-02	6.407489360369333052e-03
9.500000000000000000e+01	9.327298117897842022e-02	7.343011794573335929e-03
9.600000000000000000e+01	9.110982131251736671e-02	6.518621861447735678e-03
9.700000000000000000e+01	8.844532110795751134e-02	6.524427686676944650e-03
9.800000000000000000e+01	8.538207750485467262e-02	6.563033742628296766e-03
9.900000000000000000e+01	8.670627601029895493e-02	6.829248352276828804e-03
1.000000000000000000e+02	8.082184153152456585e-02	5.867967395361229840e-03
1.010000000000000000e+02	8.241488851611965261e-02	6.456417052800984824e-03
1.020000000000000000e+02	7.853162668461789730e-02	6.661366546816943450e-03
1.030000000000000000e+02	7.669354907688998024e-02	5.736939519934591836e-03
1.040000000000000000e+02	7.516829691108783962e-02	5.727984784847795462e-03
1.050000000000000000e+02	7.489565982994560167e-02	5.898963436306026153e-03
1.060000000000000000e+02	7.174901500493149897e-02	5.369336557173818095e-03
1.070000000000000000e+02	7.115592647438667706e-02	5.639721112139488984e-03
1.080000000000000000e+02	6.713359143180545885e-02	5.525961201002994004e-03
1.090000000000000000e+02	6.578272524965857182e-02	5.617153904000940674e-03
1.100000000000000000e+02	6.429481978397516562e-02	5.548666556324326725e-03
1.110000000000000000e+02	6.322397101411401932e-02	5.592494683544769335e-03
1.120000000000000000e+02	6.194383449185714152e-02	5.285907994653322658e-03
1.130000000000000000e+02	5.719644312211152881e-02	5.570048375334812896e-03
1.140000000000000000e+02	5.946888802338434754e-02	5.295344605240940271e-03
1.150000000000000000e+02	5.502492013680027050e-02	5.467998600834684045e-03
1.160000000000000000e+02	5.439128920919094473e-02	5.714401137058038559e-03
1.170000000000000000e+02	5.194691346498273021e-02	6.206422860847553465e-03
1.180000000000000000e+02	5.067689928287480439e-02	5.852248743525756587e-03
1.190000000000000000e+02	5.122763534169869765e-02	5.823256244461129036e-03
1.200000000000000000e+02	4.698258987339062193e-02	6.060077573605866449e-03
1.210000000000000000e+02	4.767620369485171816e-02	5.764562537613195266e-03
1.220000000000000000e+02	4.670162557378134544e-02	5.856484387692863398e-03
1.230000000000000000e+02	4.289982855316201715e-02	6.193040428985870614e-03
1.240000000000000000e+02	4.105322937171093645e-02	5.142968165336014343e-03
1.250000000000000000e+02	4.193299563601635832e-02	5.748347870600615910e-03
1.260000000000000000e+02	3.961519925361264155e-02	5.591742995849574918e-03
1.270000000000000000e+02	3.864806918323675233e-02	5.832862504663402503e-03
1.280000000000000000e+02	3.900285735477664745e-02	5.446541980151752352e-03
1.290000000000000000e+02	3.724572205325277219e-02	5.902527185778132755e-03
1.300000000000000000e+02	3.639298220346733753e-02	5.823320242254469842e-03
1.310000000000000000e+02	3.498968984730797122e-02	6.307541962608930776e-03
1.320000000000000000e+02	3.442772055905493622e-02	6.487350671069998416e-03
1.330000000000000000e+02	3.346111033672952151e-02	6.402676726589357631e-03
1.340000000000000000e+02	3.099998826694617959e-02	6.565828693456784299e-03
1.350000000000000000e+02	3.059343878636797132e-02	5.743886369704352332e-03
1.360000000000000000e+02	2.954949042055575806e-02	6.449206005919422800e-03
1.370000000000000000e+02	2.607399858481488503e-02	6.415411748155039860e-03
1.380000000000000000e+02	2.680324452052722239e-02	6.222420457285380777e-03
1.390000000000000000e+02	2.479752467633290422e-02	7.010596135516320403e-03
1.400000000000000000e+02	2.504738785168201393e-02	6.765577269562883349e-03
1.410000000000000000e+02	2.434952792652647635e-02	6.219054079093616107e-03
1.420000000000000000e+02	2.140633195776250886e-02	6.333189384831691172e-03
1.430000000000000000e+02	2.118346397583974888e-02	6.528969586029838290e-03
1.440000000000000000e+02	2.058635536916681233e-02	6.536773384474702138e-03
1.450000000000000000e+02	1.928085247416671741e-02	6.526558725391917552e-03
1.460000000000000000e+02	1.915111795890111698e-02	6.842073862847620341e-03
1.470000000000000000e+02	1.732905448986959973e-02	6.921576933714235734e-03
1.480000000000000000e+02	1.655028805551368373e-02	7.211303174065618327e-03
1.490000000000000000e+02	1.565896575236185723e-02	6.927280270432717955e-03
1.500000000000000000e+02	1.346036342034503952e-02	7.305059579012218411e-03
1.510000000000000000e+02	1.450047491439498439e-02	7.207346666011765594e-03
1.520000000000000000e+02	1.444025250022903245e-02	7.063520541173539356e-03
1.530000000000000000e+02	1.173876227438691924e-02	8.309451974470650690e-03
1.540000000000000000e+02	1.194195077586257363e-02	7.842907368818945527e-03
1.550000000000000000e+02	1.321783506752473650e-02	7.775308284109822346e-03
1.560000000000000000e+02	1.065804109865985463e-02	7.773193875478545851e-03
1.570000000000000000e+02	1.114191028710139267e-02	8.590094965365920390e-03
1.580000000000000000e+02	9.569997755948089074e-03	7.947707031329994190e-03
1.590000000000000000e+02	1.107462899463445942e-02	8.057002936222454337e-03
1.600000000000000000e+02	1.089691582962936875e-02	7.875247365842132780e-03
1.610000000000000000e+02	6.115360158069702533e-03	8.165341049352509498e-03
1.620000000000000000e+02	7.113771555014318862e-03	8.018408235247475452e-03
1.630000000000000000e+02	6.970349799913705402e-03	8.753960247350891372e-03
1.640000000000000000e+02	5.165159466318099482e-03	7.995356559276564634e-03
1.650000000000000000e+02	3.940713378698340250e-03	8.566911501086947947e-03
1.660000000000000000e+02	3.828734036346005936e-03	8.441118741841689699e-03
1.670000000000000000e+02	5.864623662422501632e-03	8.186588402444707618e-03
1.680000000000000000e+02	3.703566930043991623e-03	8.112210773791289631e-03
1.690000000000000000e+02	2.132626200055087826e-03	8.911150204066452599e-03
1.700000000000000000e+02	3.255998341370152163e-03	8.565208302313651045e-03
1.710000000000000000e+02	3.503896888215016561e-03	8.168478095604812111e-03
1.720000000000000000e+02	1.493089052071030392e-03	7.727767469377324304e-03
1.730000000000000000e+02	1.747426306732063200e-03	8.205141752356967522e-03
1.740000000000000000e+02	1.826925903989376704e-04	8.549789178362840469e-03
1.750000000000000000e+02	6.819949744057579068e-04	8.188484435934877820e-03
1.760000000000000000e+02	-1.289628066703669680e-04	7.326202298410263922e-03
1.770000000000000000e+02	3.271638967284190569e-04	7.623984853372045220e-03
1.780000000000000000e+02	-2.082619208540501888e-04	7.983991878207565007e-03
1.790000000000000000e+02	-4.452187567650650471e-04	8.526248472173883486e-03
1.800000000000000000e+02	-4.706314445939365366e-04	7.808974634161932812e-03
1.810000000000000000e+02	-6.694508746296610503e-04	7.909866861858069059e-03
1.820000000000000000e+02	-4.850029184072301514e-04	8.001402377386028150e-03
1.830000000000000000e+02	-1.936064567826481292e-03	8.061881047719243396e-03
1.840000000000000000e+02	-1.776558597292768760e-03	8.178597890306846599e-03
1.850000000000000000e+02	-4.408889757388462856e-04	7.942962995809266236e-03
1.860000000000000000e+02	6.514961995018565474e-04	9.047993789996015487e-03
1.870000000000000000e+02	-1.188870731066264457e-03	8.696858360029273774e-03
1.880000000000000000e+02	-1.387850121076305112e-04	8.175306699853890358e-03
1.890000000000000000e+02	-1.357464903379593420e-03	8.739839113212856739e-03
1.900000000000000000e+02	-1.802950481733529283e-05	8.316129295642321617e-03
1.910000000000000000e+02	-7.829033729881132095e-04	8.750266985039084622e-03
1.920000000000000000e+02	-2.674326833530592511e-03	8.579249991690829011e-03
1.930000000000000000e+02	-2.601634123428267845e-03	8.414304382295874699e-03
1.940000000000000000e+02	-2.244379333562213346e-03	8.600815977224750275e-03
1.950000000000000000e+02	-1.482751686283817786e-03	7.959960079613265932e-03
1.960000000000000000e+02	-2.133519935327918369e-03	8.255709048438846648e-03
1.970000000000000000e+02	-2.472048723539675349e-03	8.637342305070502824e-03
1.980000000000000000e+02	-4.020116198074883546e-03	8.634799426114808663e-03
1.990000000000000000e+02	-3.297182635755916726e-03	8.625157378408927072e-03
2.000000000000000000e+02	-2.790130334583516749e-03	8.081676780652692973e-03
2.010000000000000000e+02	-2.478246554321075941e-03	8.429493717081244786e-03
2.020000000000000000e+02	-2.387602291848141094e-03	8.913479248936321403e-03
2.030000000000000000e+02	-2.594774966911795634e-03	8.214134941130851741e-03
2.040000000000000000e+02	-3.831901358778094444e-03	7.908176011718757309e-03
2.050000000000000000e+02	-1.303713792520873977e-03	7.275891855230292443e-03
2.060000000000000000e+02	-2.626254410600708990e-03	7.580269152672474212e-03
2.070000000000000000e+02	-4.154636453169035896e-03	7.825406187931868013e-03
2.080000000000000000e+02	-2.952724026333660400e-03	8.345955062128554425e-03
2.090000000000000000e+02	-4.194238465968530560e-03	8.905065125598363510e-03
2.100000000000000000e+02	-3.503372720165205071e-03	8.971492169480925136e-03
2.110000000000000000e+02	-6.044364304051150563e-03	7.913296766975237012e-03
2.120000000000000000e+02	-4.354098522551153212e-03	8.420606278439895023e-03
2.130000000000000000e+02	-6.204765582647962970e-03	8.539819159928612596e-03
2.140000000000000000e+02	-4.859139416290444990e-03	8.779363299959444533e-03
2.150000000000000000e+02	-5.601432459581704229e-03	8.343332055422338772e-03
2.160000000000000000e+02	-4.607812907340609089e-03	9.499671120116020759e-03
2.170000000000000000e+02	-3.823096233717281859e-03	9.673085485598869812e-03
2.180000000000000000e+02	-4.586057642761276650e-03	9.239017771238068610e-03
2.190000000000000000e+02	-3.047660884995615199e-03	9.568094491986528852e-03
2.200000000000000000e+02	-3.904619931443522804e-03	9.180153593543193685e-03
2.210000000000000000e+02	-5.347522316678061764e-03	1.007399531079150243e-02
2.220000000000000000e+02	-4.924362637103978785e-03	1.009656894967369579e-02
2.230000000000000000e+02	-5.040071639531520757e-03	1.018241702389277407e-02
2.240000000000000000e+02	-5.886052898743032377e-03	9.807701684562998568e-03
2.250000000000000000e+02	-4.348545236943389923e-03	8.781528715346901756e-03
2.260000000000000000e+02	-6.203541395269958174e-03	9.507136745293657751e-03
2.270000000000000000e+02	-4.124797894496269948e-03	9.564653300566040156e-03
2.280000000000000000e+02	-4.553571726585442167e-03	9.855811635469597862e-03
2.290000000000000000e+02	-5.591791849182539860e-03	9.506081175885063017e-03
2.300000000000000000e+02	-5.668751612003648799e-03	9.988039812848166152e-03
2.310000000000000000e+02	-6.332228888795254050e-03	9.409535689233985978e-03
2.320000000000000000e+02	-6.519570807158362423e-03	9.645713004669660695e-03
2.330000000000000000e+02	-6.285851167748216645e-03	9.852014016789848241e-03
2.340000000000000000e+02	-5.846888392286732350e-03	9.932118897009255265e-03
2.350000000000000000e+02	-6.775740733810025479e-03	9.368837016777112336e-03
2.360000000000000000e+02	-8.061409532411974166e-03	9.205464077407099835e-03
2.370000000000000000e+02	-7.926753247143486156e-03	8.834793726993698387e-03
2.380000000000000000e+02	-8.167519414653660187e-03	9.455517268450506704e-03
2.390000000000000000e+02	-6.353747468164238146e-03	1.008458895417627295e-02
